region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,maxCreditUsage,minCash,minTrust,minCsi,maxInventoryAndTransit,monthEndCount,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"capital","rookie","roi_first","survive6","balanced",2,180,"won",8210407.69559998,4187644,14761364,0.28368950186446185,0.28552171875,3259843.880199999,72,87.97857142857148,19,5,10362984.495599981,19,0,106,95.14428571428616,100,0,0,"regional_star",false,false,true,6
"capital","rookie","roi_first","survive6","aggressive",1,180,"won",6225181.758599995,2895950,20052474,0.14441858894817666,0.6188096286248866,3147004.5275999987,72,91.94285714285698,30,5,9985592.558599995,16,6,182,95.42285714285671,100,0,0,"regional_star",false,false,true,6
"capital","rookie","roi_first","survive6","aggressive",2,180,"won",12770833.509600032,3610539,16971650,0.21273942132909882,0.5828857021789179,2797842.736999999,72,90.60285714285688,30,5,17614976.90960003,25,0,216,98.70285714285656,100,0,0,"regional_star",false,false,true,6
"capital","rookie","roi_first","double12","conservative",1,360,"won",13504939.621000035,2868093,13829063,0.2073960470062216,0.28950466628884847,3387005.3641999993,50,92,8,11,12121846.621000035,5,2,80,95.16571428571396,96,0,0,"regional_star",false,false,true,12
"capital","rookie","roi_first","double12","conservative",2,360,"won",10283357.100799993,1650000,13831643,0.11929168501529427,0.289456291442137,3485732.0771999992,50,80.19999999999956,8,11,10712357.100799993,7,0,62,95.29999999999943,100,0,0,"regional_star",false,false,true,12
"capital","rookie","roi_first","double12","balanced",1,331,"dismissed",21054853.61540006,5843719,13385644,0.4365661450431522,0.44371486471474875,3494607.9531999994,34,87.65,22,11,21745134.61540006,22,0,231,95.14999999999993,34,3,0,"",false,true,false,12
"capital","rookie","roi_first","double12","balanced",2,360,"won",20357005.04860002,10509876,16017874,0.6561342660080857,0.6934853776120773,3232241.2258,72,90.95,28,11,12817129.048600022,10,0,125,95.14999999999993,100,0,0,"regional_star",false,false,true,12
"capital","rookie","roi_first","double12","aggressive",1,241,"dismissed",9493995.88819999,5569251,10541672,0.5283081279705913,0.6568945046987782,2964184.926800001,34,91.89428571428537,30,8,9864744.88819999,20,0,154,97,34,3,0,"",false,true,false,9
"capital","rookie","roi_first","double12","aggressive",2,241,"dismissed",9465932.989200007,7450417,10534769,0.7072216770960996,0.7515766590504436,2871938.0417999993,34,91.8314285714282,30,8,9143515.989200007,24,0,149,100,34,3,0,"",false,true,false,9
"capital","rookie","roi_first","star12","conservative",1,360,"won",7445728.596799946,3877000,12153335,0.31900708735503464,0.3201051549975251,3185383.2680000057,72,87.35714285714256,9,11,5647728.596799947,7,0,36,95.15714285714249,100,0,0,"excellent",false,false,true,12
"capital","rookie","roi_first","star12","conservative",2,91,"dismissed",3324710,2210000,9024029,0.2449016952405627,0.2449016952405627,3324710,16,92,8,3,3193710,7,0,2,95.35714285714288,16,3,0,"",false,true,false,4
