region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"low_comp","rookie","cash_guardian","star12","conservative",3,181,"dismissed",4087793.5612,1980000,9211747,0.21494294187628035,4483793.5612,8,0,19,91.30571428571423,38,3,0,"",false,true,false,7
"low_comp","rookie","cash_guardian","star12","conservative",4,360,"won",10365751.77719996,4123735,13967465,0.2952386134491835,8321016.777199959,7,0,46,95.09999999999974,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","conservative",5,360,"won",13311357.407399954,1435624,15794019,0.09089668690407426,14141176.607399954,5,0,119,100,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","conservative",6,360,"won",10272977.886200057,2061833,11729910,0.17577568796350526,10678838.486200057,8,0,95,89.7314285714282,88,1,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","conservative",7,360,"won",9834887.76460006,4516510,12906459,0.3499418391984974,7397377.764600061,7,0,44,95.19999999999973,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","conservative",8,91,"dismissed",3232923.800000005,2244000,9113297,0.24623360788088,3157657.400000004,7,0,3,95.49999999999997,26,3,0,"",false,true,false,4
"low_comp","rookie","cash_guardian","star12","balanced",1,360,"won",26770932.498600017,990000,21234641,0.046621932529963654,29277855.698600017,8,6,306,95.95000000000024,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","balanced",2,241,"dismissed",6562007.472800007,4561971,9820404,0.46454005354565864,5665731.672800006,12,0,86,97.30000000000001,44,3,0,"",false,true,false,9
"low_comp","rookie","cash_guardian","star12","balanced",3,331,"dismissed",23946942.324399907,8325216,14097097,0.5905624399122741,23640726.324399907,27,0,233,95.04999999999993,34,3,0,"",false,true,false,12
"low_comp","rookie","cash_guardian","star12","balanced",4,331,"dismissed",19104300.380399827,4880620,14164911,0.3445570536941602,19866680.380399827,19,0,217,94.84857142857146,54,3,0,"",false,true,false,12
"low_comp","rookie","cash_guardian","star12","balanced",5,360,"won",21721187.381599907,5063243,13344535,0.37942446102468164,23191944.381599907,22,0,243,97,66,2,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","balanced",6,360,"won",12386151.159599999,3554154,17439292,0.20380150753826473,15096729.159599997,17,1,169,99.95000000000097,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","balanced",7,360,"won",26556542.183999974,3751261,21044747,0.17825165586452524,27313233.183999974,11,4,317,100,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","balanced",8,360,"won",16757061.078999847,9067892,12856154,0.7053347369672143,8283169.078999847,2,0,71,95.17285714285755,88,1,0,"excellent",false,false,true,12
"low_comp","rookie","cash_guardian","star12","aggressive",1,360,"won",11448188.464600049,2490200,15486382,0.16079933970374746,18889703.66460005,30,0,240,97.26857142857104,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","aggressive",2,360,"won",19728985.545199994,2771584,18643411,0.14866292439725756,23576214.345199995,18,1,316,95.62285714285642,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","aggressive",3,360,"won",40291819.363800064,9850716,19991420,0.49274718854388533,34896103.363800064,15,0,396,100,89,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","aggressive",4,360,"won",38123897.504400045,8985065,19542685,0.4597661477939188,32702832.504400045,12,3,380,95.33714285714285,52,1,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","aggressive",5,301,"dismissed",13442666.543199923,3130217,12636269,0.24771686959180753,13579449.543199923,11,0,184,97.52857142857106,44,3,0,"",false,true,false,11
"low_comp","rookie","cash_guardian","star12","aggressive",6,241,"dismissed",9304913.889999988,4951946,10495159,0.4718314415246115,12371967.889999986,27,0,148,99.29714285714267,44,3,0,"",false,true,false,9
"low_comp","rookie","cash_guardian","star12","aggressive",7,360,"won",30810670.243200034,2307014,25144453,0.09175041509155121,36917850.64320003,25,0,437,92.13142857142763,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","aggressive",8,360,"won",25644899.18060005,5173280,17703223,0.292222495304951,24967204.780600052,15,0,326,100,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","survive6","conservative",1,91,"dismissed",3264030.60000001,2279000,9009101,0.2529664169599164,3064030.60000001,7,0,1,95.2885714285714,6,3,0,"",false,true,false,4
"low_comp","rookie","volume_growth","survive6","conservative",2,180,"won",8011343.719600003,975862,16182257,0.060304443317146676,8219477.719600003,2,2,62,95.25714285714265,98,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","conservative",3,180,"won",6276036.834199999,1709745,14396008,0.11876521602377547,6822690.234199999,7,0,43,95.48285714285697,98,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","conservative",4,180,"won",7275271.2789999945,1742686,15563834,0.11197022533136758,8046948.478999995,7,0,52,95.46857142857118,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","conservative",5,91,"dismissed",3318167.5999999954,2228000,9022419,0.24694042695201807,3169167.599999996,7,0,2,95.44571428571429,6,3,0,"",false,true,false,4
"low_comp","rookie","volume_growth","survive6","conservative",6,180,"won",4579029.838600002,1101292,14307641,0.0769722975296906,5833507.438600002,7,0,33,92.5628571428571,93,0,0,"excellent",false,false,true,6
"low_comp","rookie","volume_growth","survive6","conservative",7,180,"won",6364455.033000002,1014446,15856082,0.06397835228147786,6628024.233000002,2,2,52,94.89714285714281,91,0,0,"excellent",false,false,true,6
"low_comp","rookie","volume_growth","survive6","conservative",8,180,"won",6982750.259599995,2640000,15492357,0.170406607593667,6429895.8595999945,6,2,54,96.4999999999998,82,0,0,"excellent",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",1,180,"won",9658790.862399992,2223551,16412675,0.1354776719821723,11546336.662399992,11,2,126,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",2,180,"won",8697101.152999997,3782818,18437479,0.2051700235156878,12478632.752999997,20,4,142,95.25000000000034,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",3,180,"won",10642126.286599997,5116439,19094334,0.26795587633483314,13527641.686599996,22,2,151,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",4,180,"won",11741230.004999999,942359,20110844,0.04685825219468661,12743157.405,0,8,154,98.48000000000062,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",5,180,"won",11569579.664400004,5406360,19504907,0.27717948104033513,13440126.864400003,19,4,152,100,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",6,180,"won",11734286.968400007,2269890,19343975,0.11734351393650995,12232068.968400007,3,8,152,99.6500000000004,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",7,180,"won",10051315.73699996,7689576,11483988,0.6695910863020755,10740242.936999958,28,0,87,95.26000000000009,84,1,0,"excellent",false,false,true,6
"low_comp","rookie","volume_growth","survive6","balanced",8,180,"won",10309109.7702,4950000,10670375,0.46390122184084437,11608325.7702,20,0,102,96,78,1,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",1,180,"won",16993451.312199987,860878,24953915,0.034498714931104,23412066.11219999,14,6,316,95.28571428571361,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",2,180,"won",20332174.4912,1194496,26901388,0.044402764645452494,22200123.2912,0,12,313,95.27142857142823,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",3,180,"won",16295475.956600016,610854,23664716,0.025812859955724802,23955861.156600017,21,0,305,95.10285714285641,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",4,180,"won",16270287.503399996,2587592,24453544,0.10581664563631349,16858525.103399996,0,18,293,95.00285714285647,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",5,180,"won",16525826.96039999,5845842,24704893,0.2366268900658667,21876553.760399994,27,0,286,95.29999999999923,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",6,180,"won",15781054.199799994,4450091,25689051,0.17322909281467813,20221578.39979999,20,6,300,95.4999999999991,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",7,180,"won",9337772.138399977,5534834,10758215,0.5144751243584553,13379376.538399976,30,0,156,95.05999999999963,78,1,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","survive6","aggressive",8,180,"won",8054495.164800002,3629710,19377566,0.18731506320246827,11909684.364800002,19,6,181,95.22285714285675,100,0,0,"regional_star",false,false,true,6
"low_comp","rookie","volume_growth","double12","conservative",1,241,"dismissed",5516263.666400025,2279000,9563151,0.2383105735755924,5613263.666400025,8,0,31,95.46571428571411,0,3,0,"",false,true,false,9
"low_comp","rookie","volume_growth","double12","conservative",2,331,"dismissed",10127144.96860001,2640000,10697427,0.2467883164802153,9863144.96860001,8,0,82,95.48857142857105,34,3,0,"",false,true,false,12
"low_comp","rookie","volume_growth","double12","conservative",3,181,"dismissed",4302324.22399998,2521000,9264522,0.2721133373097932,4454324.22399998,9,0,17,91.09999999999981,0,3,0,"",false,true,false,7
"low_comp","rookie","volume_growth","double12","conservative",4,331,"dismissed",9929799.9772,2310000,10648880,0.21692422113874887,9698799.9772,7,0,74,95.05714285714262,34,3,0,"",false,true,false,12
"low_comp","rookie","volume_growth","double12","conservative",5,360,"won",10379344.147199988,2310000,15792334,0.14627350206752213,10661104.147199988,7,0,102,91.09999999999948,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","conservative",6,360,"won",13836149.595000012,238086,17932182,0.013277023398491048,14339789.195000011,0,2,118,95.99999999999936,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","conservative",7,91,"dismissed",3175525.400000002,2312000,9094913,0.2542080391533157,3020818.200000002,7,0,1,96.1,6,3,0,"",false,true,false,4
"low_comp","rookie","volume_growth","double12","conservative",8,211,"dismissed",4536977.529800025,1653288,9322246,0.17734867756118,4962689.529800025,7,0,25,95.01428571428563,6,3,0,"",false,true,false,8
"low_comp","rookie","volume_growth","double12","balanced",1,301,"dismissed",18425349.069999956,2118441,13981594,0.15151641508114166,16900908.069999956,2,0,158,95.05,54,3,0,"",false,true,false,11
"low_comp","rookie","volume_growth","double12","balanced",2,360,"won",18417848.86840001,4950000,19354308,0.2557570128572925,18446787.26840001,15,0,223,94.75142857142887,68,1,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","balanced",3,360,"won",23506612.4818001,8359982,13887607,0.6019742638166532,23759630.4818001,29,0,250,95.85000000000042,56,2,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","balanced",4,360,"won",23146151.969600003,2889309,23234015,0.12435685351842977,25052818.969600003,12,8,284,99.05000000000004,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","volume_growth","double12","balanced",5,360,"won",25991794.856200073,6324432,14515310,0.43570767692870493,26926331.656200074,24,0,259,94.80000000000017,66,2,0,"regional_star",false,false,true,12
