region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgMaxCreditUsage,avgMinCash,avgMinTrust,avgMinCsi,avgMaxInventoryAndTransit,avgSales,avgInventory,avgCsi,avgTrust
"low_comp","hardcore","survive6","aggressive",10,1,0,0,11158537.067530604,7568116.3155078115,3718549.1156599997,0.2116425231800167,0.9443096006669387,226002.40573999993,70.4,79.65828571428571,29.9,241.3,18.9,95.0811657142852,95.2
"low_comp","hardcore","survive6","balanced",10,1,0,0,9297377.24612,8358418.026120001,4581281.1,0.26851878543106145,0.8197352435471197,1235856.35006,72,79.76457142857143,27.2,158.7,14.1,97.82542857142872,100
"low_comp","hardcore","survive6","conservative",10,0.8,0,0.2,3995840.3032599986,3795483.9232599996,2424036.1,0.20275895767465393,0.5489290085679315,1384915.3306400003,47.8,79.56664571428571,11.1,44.6,7.3,95.21132857142848,77.8
"nev_hot","hardcore","survive6","aggressive",10,0.7,0.1,0.2,6488839.3833537055,5028726.488809028,6813553.686812384,0.6374306604843959,0.9716519311863981,71338.65504000001,65.6,77.0481257142856,29.7,159,24.5,92.75250571428532,78
"nev_hot","hardcore","survive6","balanced",10,0.8,0,0.2,5832969.837699997,4698671.457699997,6757512.9,0.501004888320918,0.7389266462043601,508293.7750999996,68.7,79.18247428571428,28.1,122.9,20.6,96.37814571428582,90.7
"nev_hot","hardcore","survive6","conservative",10,0.5,0,0.5,2353720.240859998,2561452.5808599987,3248302.9,0.33824267629121324,0.4922576577141344,1206667.7882599991,28.2,80,11.9,19.6,9.5,95.62683142857138,43.2
"tier1","hardcore","survive6","aggressive",10,0.4,0.4,0.2,3937461.413614863,2499113.6926949304,6765191.831120068,0.6873460212937657,0.9884283315535523,316269.99835200765,59.8,78.87567142857141,29.9,133.1,25.1,96.69336571428546,71
"tier1","hardcore","survive6","balanced",10,0.9,0,0.1,5984715.296520001,5248607.676520002,5399994.7,0.4706559285280128,0.695639079251909,1244866.1217600007,65.3,78.61391428571429,25.3,136.2,16.8,97.17909428571446,84.3
"tier1","hardcore","survive6","conservative",10,0.3,0,0.7,2244023.3666399987,2351162.5866399985,3278673.3,0.3363093997708112,0.39997671174763394,1436130.0117400005,34.4,79.69371428571428,11.1,17.2,10.3,94.44393714285708,47.5
"capital","rookie","survive6","aggressive",10,0.9,0,0.1,13743499.861140002,10232597.641139997,4752801.3,0.318214376248099,0.5829880382089552,3060554.1999,68.8,91.52685714285685,29.9,195.5,22.7,95.93799999999958,91.8
"capital","rookie","survive6","balanced",10,1,0,0,13844567.756160002,13323545.456160005,2011849.3,0.14283178613668246,0.3492989475173521,3312069.7380000004,69.6,90.91128571428582,15.8,155.4,4,97.11300000000031,94.8
"capital","rookie","survive6","conservative",10,0.6,0,0.4,4560841.218480008,4897755.418480007,2582750.2,0.23657506787050134,0.29656860253646605,3303037.8454600037,37.6,90.96542857142853,8.3,23.4,6.8,95.34057142857137,54.8
"low_comp","rookie","survive6","aggressive",10,0.9,0,0.1,14740421.165019998,10915176.845019998,4613682,0.30736578780897317,0.5884285762367832,3126929.21694,67.1,91.51199999999974,29.2,188.1,23.6,95.46314285714246,90.1
"low_comp","rookie","survive6","balanced",10,1,0,0,14355948.460000008,13335408.500000004,3214937.8,0.1643008675611472,0.35176414288673313,3412809.4400000004,72,94.15785714285721,18.9,152.4,8.5,98.47071428571435,100
